Designator,Mid X,Mid Y,Rotation,Layer
BTM1,198.12,-66.548,0.0,top
C1,134.747,-75.741,270.0,bottom
C10,216.027,-79.629,90.0,bottom
C11,227.965,-79.883,180.0,bottom
C12,194.945,-65.913,90.0,bottom
C13,200.406,-65.913,90.0,bottom
C15,207.264,-62.357,0.0,top
C16,237.617,-65.024,0.0,bottom
C17,199.136,-70.739,90.0,bottom
C18,240.411,-56.007,270.0,bottom
C2,137.541,-75.741,270.0,bottom
C20,202.097072,-58.547,180.0,bottom
C21,202.946,-60.579,180.0,bottom
C23,214.376,-63.5,180.0,bottom
C24,220.726,-61.341,270.0,bottom
C25,218.186,-61.341,270.0,bottom
C3,153.289,-77.216,270.0,bottom
C4,150.749,-77.343,270.0,bottom
C5,158.242,-74.422,270.0,bottom
C6,155.702,-74.422,270.0,bottom
C7,171.704,-76.454,270.0,bottom
C8,174.371,-76.454,270.0,bottom
C9,197.866,-65.913,90.0,bottom
D1,235.331,-56.642,90.0,bottom
J1,152.034,-54.602,180.0,bottom
J10,142.997,-54.229,90.0,top
J11,188.849,-73.152,0.0,top
J12,188.341,-57.409,180.0,top
J14,237.981,-79.168,90.0,top
J16,232.283,-77.978,180.0,top
J18,205.1,-54.483,90.0,top
J2,195.946,-80.272,0.0,bottom
J3,172.046,-57.229,0.0,top
J4,179.451,-63.754,270.0,top
J5,179.451,-66.294,270.0,top
J6,172.713,-75.74,180.0,top
J7,179.451,-68.834,270.0,top
J8,196.469,-54.864,90.0,top
J9,232.664,-71.247,180.0,top
L1,206.3865,-58.547,180.0,bottom
R1,207.391,-78.232,180.0,bottom
R12,202.819,-56.388,180.0,bottom
R16,214.63,-60.579,270.0,bottom
R17,207.391,-76.327,180.0,bottom
R18,207.391,-73.66,180.0,bottom
R2,235.458,-60.452,270.0,bottom
R20,194.691,-70.612,180.0,bottom
R21,194.056,-60.389,270.0,bottom
R23,201.549,-72.834,90.0,bottom
R3,195.961,-60.325,270.0,bottom
R4,207.264,-70.104,90.0,bottom
U1,143.637,-74.93,180.0,bottom
U2,164.109,-75.565,180.0,bottom
U3,235.1825,-61.214,0.0,top
U4,221.615,-78.74,180.0,bottom
U5,235.3095,-54.991,0.0,top
U6,185.674,-65.683,90.0,top
U8,219.342,-65.46,0.0,top
