Designator,Mid X,Mid Y,Rotation,Layer
BTM1,208.28,-40.64,90.0,top
C1,175.455,-38.1,90.0,top
C10,205.74,-65.91,0.0,top
C11,205.74,-68.58,0.0,top
C14,207.865,-71.12,0.0,top
C15,201.93,-31.75,180.0,top
C17,190.57,-38.1,90.0,top
C19,177.8,-67.31,270.0,top
C2,177.995,-38.1,90.0,top
C20,162.63,-40.64,90.0,top
C21,163.125,-43.18,0.0,top
C22,180.77,-70.65,270.0,top
C3,191.975,-45.72,180.0,top
C4,191.975,-43.18,180.0,top
C5,182.22,-58.215,90.0,top
C6,184.76,-58.215,90.0,top
C7,191.315,-52.07,180.0,top
C8,191.315,-49.53,180.0,top
D1,165.1,-65.91,270.0,top
J1,168.98,-36.83,180.0,top
J10,168.91,-72.39,180.0,top
J11,184.15,-44.45,90.0,top
J12,212.095,-63.5,90.0,top
J13,212.095,-66.47,90.0,top
J14,161.29,-62.23,0.0,top
J15,171.45,-62.23,90.0,top
J16,171.45,-65.2,90.0,top
J17,198.12,-52.07,0.0,top
J18,160.09,-35.56,270.0,top
J19,198.12,-56.72,0.0,top
J2,180.34,-78.74,0.0,top
J3,237.34,-42.72,180.0,top
J4,208.28,-55.88,90.0,top
J5,208.28,-53.34,90.0,top
J6,238.34,-69.04,0.0,top
J7,208.28,-58.85,90.0,top
J8,187.9925,-36.83,90.0,top
J9,172.72,-69.85,0.0,top
L1,157.55,-41.91,90.0,top
R1,203.85,-71.12,0.0,top
R10,212.915,-49.53,180.0,top
R11,177.355,-71.12,0.0,top
R12,163.125,-45.72,180.0,top
R13,183.705,-73.66,0.0,top
R14,183.31,-70.65,270.0,top
R15,185.42,-66.865,90.0,top
R2,165.1,-60.96,90.0,top
R3,208.28,-49.53,0.0,top
R4,219.71,-47.435,90.0,top
R5,219.71,-36.83,270.0,top
R6,196.85,-44.45,90.0,top
R7,196.85,-47.815,270.0,top
R8,219.71,-43.625,270.0,top
R9,219.71,-40.195,270.0,top
U1,184.345,-38.1,0.0,top
U2,191.77,-57.15,0.0,top
U3,169.545,-54.655,270.0,top
U4,194.08,-68.42,180.0,top
U5,176.53,-54.61,270.0,top
U6,203.2,-55.88,90.0,top
U7,181.59,-66.02,0.0,top
